Epoca: 1 | Loss: 2.2985 | Accuracy: 13.06%
Epoca: 2 | Loss: 2.2813 | Accuracy: 25.71%
Epoca: 3 | Loss: 2.2590 | Accuracy: 37.55%
Epoca: 4 | Loss: 2.2302 | Accuracy: 45.71%
Epoca: 5 | Loss: 2.1950 | Accuracy: 47.76%
Epoca: 6 | Loss: 2.1546 | Accuracy: 47.76%
Epoca: 7 | Loss: 2.1103 | Accuracy: 49.39%
Epoca: 8 | Loss: 2.0627 | Accuracy: 48.98%
Epoca: 9 | Loss: 2.0129 | Accuracy: 50.00%
Epoca: 10 | Loss: 1.9616 | Accuracy: 49.80%
Epoca: 11 | Loss: 1.9091 | Accuracy: 50.00%
Epoca: 12 | Loss: 1.8553 | Accuracy: 50.20%
Epoca: 13 | Loss: 1.8002 | Accuracy: 49.80%
Epoca: 14 | Loss: 1.7445 | Accuracy: 49.80%
Epoca: 15 | Loss: 1.6882 | Accuracy: 49.59%
Epoca: 16 | Loss: 1.6319 | Accuracy: 49.59%
Epoca: 17 | Loss: 1.5759 | Accuracy: 49.59%
Epoca: 18 | Loss: 1.5206 | Accuracy: 49.59%
Epoca: 19 | Loss: 1.4666 | Accuracy: 49.59%
Epoca: 20 | Loss: 1.4142 | Accuracy: 49.59%
Epoca: 21 | Loss: 1.3639 | Accuracy: 49.59%
Epoca: 22 | Loss: 1.3160 | Accuracy: 49.59%
Epoca: 23 | Loss: 1.2707 | Accuracy: 49.59%
Epoca: 24 | Loss: 1.2282 | Accuracy: 49.59%
Epoca: 25 | Loss: 1.1886 | Accuracy: 49.59%
Epoca: 26 | Loss: 1.1519 | Accuracy: 49.59%
Epoca: 27 | Loss: 1.1181 | Accuracy: 49.59%
Epoca: 28 | Loss: 1.0870 | Accuracy: 49.59%
Epoca: 29 | Loss: 1.0585 | Accuracy: 49.59%
Epoca: 30 | Loss: 1.0324 | Accuracy: 49.59%
Epoca: 31 | Loss: 1.0086 | Accuracy: 49.59%
Epoca: 32 | Loss: 0.9869 | Accuracy: 49.59%
Epoca: 33 | Loss: 0.9671 | Accuracy: 49.59%
Epoca: 34 | Loss: 0.9490 | Accuracy: 49.59%
Epoca: 35 | Loss: 0.9326 | Accuracy: 49.59%
