epoch,loss,accuracy
1,2.2968,12.00
2,2.2935,14.29
3,2.2901,17.43
4,2.2865,20.29
5,2.2829,23.43
6,2.2790,30.57
7,2.2749,34.00
8,2.2708,37.14
9,2.2664,42.29
10,2.2619,45.14
11,2.2573,46.86
12,2.2524,46.86
13,2.2474,48.29
14,2.2421,48.57
15,2.2366,49.43
16,2.2309,49.43
17,2.2248,49.71
18,2.2185,49.71
19,2.2117,49.71
20,2.2045,49.71
21,2.1968,49.71
22,2.1885,49.71
23,2.1797,49.71
24,2.1702,49.71
25,2.1600,49.71
26,2.1489,49.71
27,2.1369,49.71
28,2.1240,49.71
29,2.1100,49.71
30,2.0948,49.71
31,2.0783,49.71
32,2.0604,49.71
33,2.0410,49.71
34,2.0201,49.71
35,1.9974,49.71
36,1.9730,49.71
37,1.9467,49.71
38,1.9184,49.71
39,1.8882,49.71
40,1.8560,49.71
41,1.8219,49.71
42,1.7858,49.71
43,1.7480,49.71
44,1.7085,49.71
45,1.6677,49.71
46,1.6257,49.71
47,1.5828,49.71
48,1.5395,49.71
49,1.4960,49.71
50,1.4527,49.71
51,1.4100,49.71
52,1.3682,49.71
53,1.3275,49.71
54,1.2883,49.71
55,1.2506,49.71
56,1.2147,49.71
57,1.1806,49.71
58,1.1485,49.71
59,1.1182,49.71
60,1.0898,49.71
61,1.0634,49.71
62,1.0387,49.71
63,1.0159,49.71
64,0.9947,49.71
65,0.9751,49.71
66,0.9571,49.71
67,0.9404,49.71
68,0.9251,49.71
69,0.9111,49.71
70,0.8981,49.71
71,0.8862,49.71
72,0.8752,49.71
73,0.8651,49.71
74,0.8558,49.71
75,0.8472,49.71
76,0.8393,49.71
77,0.8319,49.71
78,0.8250,49.71
79,0.8187,49.71
80,0.8128,49.71
81,0.8072,49.71
82,0.8021,49.71
83,0.7972,49.71
84,0.7927,49.71
85,0.7885,49.71
86,0.7845,49.71
87,0.7807,49.71
88,0.7772,49.71
89,0.7738,49.71
90,0.7707,49.71
91,0.7677,49.71
92,0.7649,49.71
93,0.7622,49.71
94,0.7596,49.71
95,0.7572,49.71
96,0.7549,49.71
97,0.7527,49.71
98,0.7506,49.71
99,0.7486,49.71
100,0.7467,49.71
101,0.7449,49.71
102,0.7432,49.71
103,0.7415,49.71
104,0.7399,49.71
105,0.7384,49.71
106,0.7369,49.71
107,0.7355,49.71
108,0.7341,49.71
109,0.7328,49.71
110,0.7315,49.71
111,0.7303,49.71
112,0.7291,49.71
113,0.7280,49.71
114,0.7269,49.71
115,0.7258,49.71
116,0.7248,49.71
117,0.7238,49.71
118,0.7228,49.71
119,0.7219,49.71
120,0.7210,49.71
121,0.7201,49.71
122,0.7193,49.71
123,0.7185,49.71
124,0.7177,49.71
125,0.7169,49.71
126,0.7161,49.71
127,0.7154,49.71
128,0.7147,49.71
129,0.7140,49.71
130,0.7133,49.71
131,0.7126,49.71
132,0.7120,49.71
133,0.7114,49.71
134,0.7107,49.71
135,0.7101,49.71
136,0.7096,49.71
137,0.7090,49.71
138,0.7084,49.71
139,0.7079,49.71
140,0.7073,49.71
141,0.7068,49.71
142,0.7063,49.71
143,0.7058,49.71
144,0.7053,49.71
145,0.7048,50.00
146,0.7043,50.00
147,0.7039,50.00
148,0.7034,50.00
149,0.7030,50.00
150,0.7025,50.00
151,0.7021,50.00
152,0.7017,50.00
153,0.7013,50.00
154,0.7009,50.00
155,0.7005,50.00
156,0.7001,50.00
157,0.6997,50.00
158,0.6993,50.00
159,0.6989,50.00
160,0.6986,50.00
161,0.6982,50.00
162,0.6978,50.00
163,0.6975,50.29
164,0.6971,50.29
165,0.6968,50.29
166,0.6965,50.29
167,0.6961,50.86
168,0.6958,50.86
169,0.6955,50.86
170,0.6952,51.71
171,0.6948,51.71
172,0.6945,51.71
173,0.6942,52.00
174,0.6939,52.00
175,0.6936,52.29
176,0.6933,52.29
177,0.6930,52.29
178,0.6928,52.57
179,0.6925,52.57
180,0.6922,52.86
181,0.6919,52.86
182,0.6916,53.14
183,0.6914,53.43
184,0.6911,53.71
185,0.6908,54.00
186,0.6906,54.29
187,0.6903,54.57
188,0.6900,54.57
189,0.6898,54.57
190,0.6895,54.57
191,0.6893,54.86
192,0.6890,55.14
193,0.6888,56.00
194,0.6885,56.29
195,0.6883,56.86
196,0.6881,56.86
197,0.6878,57.14
198,0.6876,57.43
199,0.6874,57.71
200,0.6871,57.71
201,0.6869,57.71
202,0.6867,57.71
203,0.6864,58.00
204,0.6862,58.00
205,0.6860,58.29
206,0.6858,58.29
207,0.6856,59.14
208,0.6853,59.14
209,0.6851,59.14
210,0.6849,59.14
211,0.6847,59.14
212,0.6845,59.14
213,0.6843,59.43
214,0.6841,59.71
215,0.6839,59.71
216,0.6837,59.71
217,0.6835,60.00
218,0.6833,60.29
219,0.6830,60.29
220,0.6828,60.57
221,0.6826,60.57
222,0.6824,60.86
223,0.6823,60.86
224,0.6821,60.86
225,0.6819,60.86
226,0.6817,61.14
227,0.6815,61.14
228,0.6813,61.14
229,0.6811,61.43
230,0.6809,61.71
231,0.6807,61.71
232,0.6805,61.71
233,0.6803,61.71
234,0.6801,61.71
235,0.6799,61.43
236,0.6798,61.43
237,0.6796,61.71
238,0.6794,61.71
239,0.6792,62.00
240,0.6790,62.29
241,0.6788,62.57
242,0.6787,62.57
243,0.6785,62.57
244,0.6783,62.29
245,0.6781,62.29
246,0.6779,62.29
247,0.6778,62.86
248,0.6776,63.43
249,0.6774,63.71
250,0.6772,64.29
251,0.6770,64.00
252,0.6769,64.00
253,0.6767,64.57
254,0.6765,64.57
255,0.6763,64.57
256,0.6762,64.57
257,0.6760,64.57
258,0.6758,64.86
259,0.6756,65.14
260,0.6755,65.43
261,0.6753,65.43
262,0.6751,65.43
263,0.6750,65.43
264,0.6748,65.71
265,0.6746,66.57
266,0.6744,66.57
267,0.6743,66.86
268,0.6741,66.86
269,0.6739,66.86
270,0.6737,66.86
271,0.6736,67.14
272,0.6734,67.14
273,0.6732,67.14
274,0.6731,67.14
275,0.6729,67.14
276,0.6727,67.43
277,0.6725,67.43
278,0.6724,67.71
279,0.6722,67.43
280,0.6720,67.43
281,0.6719,67.43
282,0.6717,67.71
283,0.6715,67.71
284,0.6714,67.14
285,0.6712,67.43
286,0.6710,67.14
287,0.6708,67.14
288,0.6707,67.43
289,0.6705,67.43
290,0.6703,67.43
291,0.6702,67.43
292,0.6700,67.71
293,0.6698,68.00
294,0.6696,68.00
295,0.6695,68.00
296,0.6693,68.00
297,0.6691,68.29
298,0.6690,68.57
299,0.6688,68.57
300,0.6686,68.57
301,0.6684,68.57
302,0.6683,68.57
303,0.6681,68.86
304,0.6679,68.86
305,0.6677,68.86
306,0.6676,68.86
307,0.6674,69.14
308,0.6672,69.43
